distance_au,distance_km,sun_diameter_px,expected_diameter_px,grid_scale
0.83,124166232.68099998,359,1172.0481927710844,0.8441065525143205
1.0,149597870.7,305,972.8,1.016995846402796
1.5,224396806.04999998,181,648.5333333333333,1.525493769604194
2.0,299195741.4,223,486.4,2.033991692805592
2.5,373994676.75,243,389.12,2.54248961600699
3.0,448793612.09999996,164,324.26666666666665,3.050987539208388
