distance_au,distance_km,sun_diameter_px,expected_diameter_px,grid_scale
0.98,146605913.28599998,347,992.6530612244898,0.9966559294747399
1.0,149597870.7,352,972.8,1.016995846402796
1.5,224396806.04999998,247,648.5333333333333,1.525493769604194
2.0,299195741.4,169,486.4,2.033991692805592
2.5,373994676.75,227,389.12,2.54248961600699
3.0,448793612.09999996,190,324.26666666666665,3.050987539208388
